Shelfmark,Title,Object Type,Date.normalized,Date.creation,Format.extent,Format.weight,Item ARK,Format,Format.dimensions,Support,Language,delivery,AltIdentifier.local,Comments
Sinai Arabic NF M 5,"Sinai, St. Catherine’s Monastery, Sinai Arabic NF M 5",Work,,,8 ff.,23.7 g,ark:/21198/z14x70x6,codex,205 x 140 x 15.0 mm,Parchment,Arabic,nf_1,Sinai Arabic NF M 5,
Sinai Arabic NF M 7,"Sinai, St. Catherine’s Monastery, Sinai Arabic NF M 7",Work,,,127 ff.,899.3 g,ark:/21198/z1156866,codex,212 x 146 x 63.0 mm,Parchment,Arabic,nf_1,Sinai Arabic NF M 7,
Sinai Arabic NF M 12,"Sinai, St. Catherine’s Monastery, Sinai Arabic NF M 12",Work,,,174 ff.,612.1 g,ark:/21198/z1wh4g47,codex,181 x 161 x 70.0 mm,Parchment,Arabic,nf_1,Sinai Arabic NF M 12,z_996 found at 30r / z_997 found at 31r / z_998 found at 156r / z_999 found at 158r
Sinai Arabic NF M 15,"Sinai, St. Catherine’s Monastery, Sinai Arabic NF M 15",Work,,,40 ff.,197.2 g,ark:/21198/z1rr3qbm,codex,209 x 157 x 18.0 mm,Parchment,Arabic,nf_1,Sinai Arabic NF M 15,
Sinai Arabic NF M 28,"Sinai, St. Catherine’s Monastery, Sinai Arabic NF M 28",Work,,,16 ff.,40.1 g,ark:/21198/z1n02zkr,codex,192 x 140 x 20.0 mm,Parchment,Arabic,nf_1,Sinai Arabic NF M 28,palimpsest
Sinai Arabic NF X 4,"Sinai, St. Catherine’s Monastery, Sinai Arabic NF X 4",Work,1192,1192,85 ff.,259.1 g,ark:/21198/z1h726vd,codex,185 x 138 x 25.0 mm,Paper,Arabic,nf_1,Sinai Arabic NF X 4,decorative elements: 56v
Sinai Greek NF MG 9,"Sinai, St. Catherine’s Monastery, Sinai Greek NF MG 9",Work,801/900,9th c.,116 ff.,547.4 g,ark:/21198/z1cg1g5j,codex,207 x 162 x 51.0 mm,Parchment,Arabic;Greek,nf_1,Sinai Greek NF MG 9,"2 blank stubs between 10v-11r.27v-28r / 1 blank stub between 90v-91r, 91v-92r, 99v-100r"
Sinai Syriac NF X 35,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 35",Work,,,14 ff.,64.2 g,ark:/21198/z17q0qj5,codex,260 x 176 x 5.0 mm,Paper,Syriac,nf_1,Sinai Syriac NF X 35,
Sinai Syriac NF X 36,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 36",Work,,,6 ff.,34.8 g,ark:/21198/z13x9zsf,codex,272 x 202 x 2.0 mm,Paper,Syriac,nf_1,Sinai Syriac NF X 36,
Sinai Syriac NF X 37,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 37",Work,701/800,8th c.,10 ff.,51.9 g,ark:/21198/z1087xf9,codex,266 x 192 x 6.0 mm,Paper,Syriac,nf_1,Sinai Syriac NF X 37,FJ: Date cant be correct MS on paper
Sinai Syriac NF X 38,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 38",Work,701/800,8th c.,8 ff.,21.2 g,ark:/21198/z1vh7f0v,codex,188 x 130 x 3.0 mm,Paper,Arabic;Syriac,nf_1,Sinai Syriac NF X 38,FJ: Date cant be correct MS on paper
Sinai Syriac NF X 40,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 40",Work,,,6 ff.,13.5 g,ark:/21198/z1qr6p67,codex,192 x 142 x 4.0 mm,Paper,Syriac,nf_1,Sinai Syriac NF X 40,
Sinai Syriac NF X 41,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 41",Work,1001/1100,11th c.,90 ff.,279.9 g,ark:/21198/z1m05xh8,codex,186 x 143 x 28.0 mm,Paper,Syriac,nf_1,Sinai Syriac NF X 41,
Sinai Syriac NF X 42,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 42",Work,,,3 ff.,9.7 g,ark:/21198/z1g755tc,codex,250 x 168 x 4.0 mm,Paper,Syriac,nf_1,Sinai Syriac NF X 42,
Sinai Syriac NF X 43,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 43",Work,,,1 ff.,2.5 g,ark:/21198/z1bg4f5z,codex,135 x 120 x 1.0 mm,Paper,Syriac,nf_1,Sinai Syriac NF X 43,
Sinai Syriac NF X 44,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 44",Work,901/1000,10th c.,12 ff.,14.7 g,ark:/21198/z16t2csn,codex,130 x 88 x 4.0 mm,Paper,Arabic;Syriac,nf_1,Sinai Syriac NF X 44,
Sinai Syriac NF X 45,"Sinai, St. Catherine’s Monastery, Sinai Syriac NF X 45",Work,1001/1100,11th c.,4 ff.,5.9 g,ark:/21198/z1321n2n,codex,130 x 88 x 3.0 mm,Paper,Syriac,nf_1,Sinai Syriac NF X 45,
