File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0001_f_001r.tif,1,sinai,f. 001r,Text,,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/ck187d8v,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0002_f_001v.tif,2,sinai,f. 001v,Text,,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/1693vt5d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0003_f_002r.tif,3,sinai,f. 002r,Text,,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/1191767g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0004_f_002v.tif,4,sinai,f. 002v,Text,,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/cd09cc6k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0005_f_003r.tif,5,sinai,f. 003r,Text,,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/6d384w87,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0006_f_003v.tif,6,sinai,f. 003v,Text,,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/7f78nc3c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0007_f_004r.tif,7,sinai,f. 004r,Text,,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/cc08xh5g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0008_f_004v.tif,8,sinai,f. 004v,Text,,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/x317s404,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0009_z_2.tif,9,sinai,Spine, ,non-paged,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/bp53v510,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0010_z_3.tif,10,sinai,Fore edge, ,non-paged,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/mm49z70f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0011_z_4.tif,11,sinai,Head, ,non-paged,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/w2654q1f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/sld_arbnfm0067_0012_z_5.tif,12,sinai,Tail, ,non-paged,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/8j43wg41,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
Masters/sinaimasters/aranf/arabic_nf_m_0067/calibration_right.tif,13,sinai,Calibration Right,Text,non-paged,ark:/21198/z1qg23hz,ark:/21198/z1qg23hz/6365z80n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 67,,
