"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 20","Part 1: Commentary on the Book of Genesis | Part 2: Lives of the Saints","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","14 ff.","81.9 g","codex","226 x 170 x 29.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 20","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 22","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","6 ff.","34.0 g","codex","218 x 156 x 13.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 22","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 30","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","6 ff.","46.0 g","codex","229 x 162 x 12.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 30","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 31","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","5 ff.","39.8 g","codex","251 x 162 x 24.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 31","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 42","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","24 ff.","98.4 g","codex","218 x 177 x 25.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 42","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 43","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","6 ff.","36.6 g","codex","129 x 151 x 7.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 43","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 44","","","","ark:/21198/z1bk2gmg","","Work","","Lectionary","","","n.d.","","","","","","","","","","","","16 ff.","113.6 g","codex","124 x 176 x 19.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 44","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 45","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","4 ff.","19.8 g","codex","216 x 161 x 6.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 45","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 46","","","","ark:/21198/z1bk2gmg","","Work","","","","867","867 CE","","","","","","","","","","","","7 ff.","35.2 g","codex","229 x 176 x 14.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 46","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 47","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","6 ff.","32.1 g","codex","226 x 176 x 11.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 47","","","","delivery 8.2","",""
