File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0001_f_001r.tif,1,sinai,f. 1r,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/7275rt4m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2F7275rt4m
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0002_f_001v.tif,2,sinai,f. 1v,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/7x40nr4t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2F7x40nr4t
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0003_f_002r.tif,3,sinai,f. 2r,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/4h956g8h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2F4h956g8h
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0004_f_002v.tif,4,sinai,f. 2v,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/g254176b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2Fg254176b
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0005_f_003r.tif,5,sinai,f. 3r,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/1722xd45,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2F1722xd45
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0006_f_003v.tif,6,sinai,f. 3v,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/3j40sw7v,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2F3j40sw7v
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0007_f_004r.tif,7,sinai,f. 4r,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/km26rn8q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2Fkm26rn8q
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0008_f_004v.tif,8,sinai,f. 4v,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/xb04wv8t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2Fxb04wv8t
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0009_f_005r.tif,9,sinai,f. 5r,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/kw35g06j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2Fkw35g06j
Masters/sinaimasters/aranf/arabic_nf_m_0031/sld_arbnfm0031_0010_f_005v.tif,10,sinai,f. 5v,Text,,ark:/21198/z1x3873k,ark:/21198/z1x3873k/xv58jc8b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic NF M 31,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3873k%2Fxv58jc8b
