"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0001_a_1.tif","1","discovery","Front Board Outside","Front matter","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/vp37rg9d","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2Fvp37rg9d"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0002_b_000.tif","2","discovery","Front Board Inside","Front matter","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/c5503w0m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2Fc5503w0m"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0003_b_001r.tif","3","discovery","Flyleaf 001r","Front matter","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/db726j0t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2Fdb726j0t"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0004_b_001v.tif","4","discovery","Flyleaf 001v","Front matter","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/qb03vh33","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2Fqb03vh33"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0005_b_002r.tif","5","discovery","Flyleaf 002r","Front matter","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/nm376f3b","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2Fnm376f3b"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0006_b_002v.tif","6","discovery","Flyleaf 002v","Front matter","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/28144p8f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2F28144p8f"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0007_b_003r.tif","7","discovery","Flyleaf 003r","Front matter","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/6715xf71","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2F6715xf71"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0008_b_003v.tif","8","discovery","Flyleaf 003v","Front matter","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/vx66s81h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2Fvx66s81h"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0009_f_001r.tif","9","discovery","f. 001r","Text","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/bm65h34b","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2Fbm65h34b"
"Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0010_f_001v.tif","10","discovery","f. 001v","Text","","ark:/21198/z1029vt3","ark:/21198/z1029vt3/kd30v17j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1029vt3%2Fkd30v17j"
