"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","Related","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated Name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Folio dimensions","Support","Foliation","Collation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Binding condition","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic 514","Hagiographica","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1ng5nmf/0,1022,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bc4wfw","Work","","","","801/900","9th c.  CE","","","","","","","","","Atiya|~|Kamil","","","175 ff.","","Codex","234 x 160 x 113 mm","223 x 150 mm","Parchment","","Quire 1: 1x8+1 (8), Quire 2: 2x1 inside 1x2, +4x1 (16), Quire 3: 2x1 inside 1x2,+3x1 (23), Quire 4: 1x6 (29), Quire 5: 7x1 (36), Quire 6: 3x1, 2x1 inside 1x2, +1 (44), Quire 7: 3x1, 2x1 inside 1x2, +2x1 (53), Quire 8-11: 4x8 (85), Quire 12: 1x8+1 (94), Quire 13: 6x1 (100),  Quire 14: 5x1 (105), Quire 15: 1+1x6+1 (113), Quire 16: 1x8 (121), Quire 17: 1x6 (127), Quire 18: 1x10 (137), Quire 19: 1x6 (149), Quire 20: 1+1x8 (152), Quire 21-22: 2x8 (168), Quire 23: 1+1x6 (175)","","","","","","Leather on wood","Front cover detached; cloth strip attached to back cover (remains of spine)","black; titles in red","Palimpsest|~|Rubrication|~|Multispectral Imaging","Some individual quires or groups of quires, detached, up to f. 94; some single-folios; several stubs with undertext","text","Hagiographies","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 514","Old Collection","https://www.loc.gov/item/00279390210-ms/","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1bc4wfw/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Arabic 588","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1qj8gpq/0,1022,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16m44r0","Work","","Prophetologion","","901/1000","10th c.  CE","","","","","","","","","Atiya|~|Kamil","","","69 ff.","","Codex","230 x 200 x 85 mm","230 x 175 mm","Parchment","Small Arabic numerals in pencil in upper left (followed here); sporadic foliation in pencil in center of bottom margin | Foliation may not correspond to sequence of overtext","3x1 (3); Quire 1, four single-folios with stubs: 4x1 (7) plus five singletons: 5x1 (12); Quire 2: 1x4 (16) plus 1 singleton (17); Quire 3, bifolio encompassing 8 single-folios: 8x1 inserted in 1x2 (27); Quire 4, bifolio encompassing 10 single-folios: 10x1 inserted in 1x2 (39) plus four singletons: 4x1 (43); Quire 5, 3 single-folios with stubs: 3x1 (46); 3 singletons: 3x1 (49); Quire 6, 1 bifolio encompassing, from outside in, 2 single-folios with stubs, 2 bifolios, 2 single-folios with stubs: 1x2, 2x1, 2x2, 2x1 (59); Quire 7: 2x2, 2x1, 1x2 (67); 1x2 (69)|~|Several detached folios are counted here as singletons, because their quire context cannot be determined","","","","","","Detached components of binding: front leather cover, reinforced with papyrus, to which is attached the spine cover, made of woven fabric with leather and parchment remnants; back leather cover reinforced with papyrus","Poor, several detached components","black; titles in red","Palimpsest|~|Rubrication|~|Multispectral Imaging","Unbound quires and detached folios; numerous stubs |~| Folios curl at gutter; some folios of very stiff parchment |~| Small holes aligned horizontally across middle of some folios may be sewing holes, indicating original bifolios with double palimpsest","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","right-to-left","Arabic","Naskh","Old Naskh","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 588","Old Collection","https://www.loc.gov/item/0027939060A-ms/","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz16m44r0/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 66","Cyril of Scythopolis, Lives of the Monks of Palestine","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1jh42t4/0,1022,6132,6132/150,150/0/default.jpg","Arabic NF M 66 originally belonged together with Leipzig Univ. gr. 2 = codex Tischendorf 2, St. Petersburg RNB gr. 26, Cambridge Add. 1879.5. (Rossetto)","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dv21gp","Work","","","Mar Saba Monastery, Jerusalem","903/925","First quarter 10th c.  CE","","Cyril, of Scythopolis, approximately 524-approximately 558","","","Fragments","","","","Meimaris|~|Binggeli|~|Lamoreaux|~|Treiger","","","9 ff.","","Folium","","290 x 240 mm","Parchment","","","","","Decorative use of red ink in overtext","","","","","black","Palimpsest|~|Rubrication|~|Colophon|~|Multispectral Imaging","Six fragmented folios fused together, and three fragments","text","Hagiographies","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 66","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1dv21gp/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 8","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz14q7rws/0,1022,6132,6132/150,150/0/default.jpg","Overtext continues in Arabic NF M 28, with consecutive pencil foliation; Arabic NF M 8, Arabic NF M 27 and Arabic NF M 28 originally belonged to the same manuscript","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kd1z25","Work","","Bible. Gospels","","851/900","Second half 9th c.  CE","","","","","","","","","Meimaris|~|Kashouh 2008|~|Kashouh 2012","","","128 ff.","","Codex","183 x 128 x 48 mm","183 x 128 mm","Parchment","","Quire 1: 1x4+1x2+1 inside 1x4 (11), Quire 2: 1x10 (21), Quire 3: 1x8 (29), Quire 4: 1x10 (39), Quire 5: 1x8 (47), Quire 6: 1x8 (55), Quire 7: 1x8 (63), Quire 8: 1x8 (71), Quire 9: 1x8 (79), Quire 10: (87), Quire 11: 1x8 (95), Quire 12: 1x8 (103), Quire 13: 1x8 (111), Quire 14: 1x8 (119), Quire 15: 1+1x6+1 (127)","","","Some decorative lines in black and red ink","","","","Front and back cover missing, spine separate","black; titles in red","Palimpsest|~|Rubrication|~|Decoration, Geometric|~|Multispectral Imaging","Quires 1-8 unsewn, quires 9-15 sewn; individual folios of various size |~| Some folios stitched together of different pieces","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 8","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1kd1z25/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, CPA NF frag 12","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz11v5h2t/1022,0,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x356gz","Work","","Bible. Psalms","","801/1000","9th-10th c.  CE","","","","","","","","","Brock 1995","","","12 ff.","","Folium","","196 x 125 mm","Parchment","Not foliated; arrangement and numbering follows Brock 1995, which is based on the sequence of the Psalms","","","","","","","","","black","Palimpsest|~|Multispectral Imaging","Three bifolios, a single folio, and five fragments, total of 24 sides","text","Biblical texts","cpa|~|grc","right-to-left","Syriac|~|Greek","Christian Palestinian Aramaic|~|Greek majuscule","The Greek annotations are in inclined majuscule","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai CPA NF frag 12","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1x356gz/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, CPA NF frag 13","Miscellaneous notes","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1q248j3/0,1022,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ft92mh","Work","Index of Lections","","","1201/1300","13th c.  CE","","","","","Fol. 2v has the beginnings of an index of lections in CPA","","","","Brock 1995","","","2 ff.","","Bifolium","","236 x 181 mm","Parchment","Not foliated; sequence follows Brock, 1995, pl. 436-437","","","","Two six-pointed stars with dots, in red and black ink, on f. 2r","Ff. 1v and 2r contain some notes in Arabic, including a date (AM 6760 = AD 1252)","","","","black","Palimpsest|~|Decoration, Geometric|~|Multispectral Imaging|~|Inscription(s)","Bifolio; five evenly spaced horizontal creases running across bifolio","text","Liturgical texts","ara|~|cpa","right-to-left","Arabic|~|Syriac","Christian Palestinian Aramaic|~|Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai CPA NF frag 13","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1ft92mh/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, CPA NF frag 14","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz15d8sc2/1022,0,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sb4fr7","Work","","Sayings of the Desert Fathers","","","n.d.","","","","","","","","","Brock 1995","","","2 ff.","","Bifolium","","","Parchment","Sequence follows Brock 1995, pl. 438-439","","","","","","","","","black","Palimpsest|~|Multispectral Imaging","Two bifolios, highly fragmented and fused so that only the outer folios are accessible","text","Apophthegmata","cpa","right-to-left","Syriac","Christian Palestinian Aramaic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai CPA NF frag 14","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1sb4fr7/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, CPA NF frag 16","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1fq9wzw/1022,0,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18c9x9s","Work","Gospel of Luke 18","Bible. Gospels|~|Bible. Luke","","601/700","7th c.  CE","","","","","","","","","Brock 1995","","","2 ff.","","Folium","","","Parchment","Not foliated; sequence follows Brock 1995, pl. 442-445","","","","","","","","","","Palimpsest|~|Multispectral Imaging","Two singletons","text","Biblical texts|~|Gospel books","cpa","right-to-left","Syriac","Christian Palestinian Aramaic","Early CPA","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai CPA NF frag 16","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz18c9x9s/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, CPA NF frag 17","Unidentified","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1319wgm/0,1022,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1nk3q1x","Work","","","","","n.d.","","","","","","","","","Brock 1995","","","2 ff.","","Folium","","","Parchment","Not foliated; sequence follows Brock 1995, pl. 446-449","","","","","","","","","","Palimpsest|~|Multispectral Imaging|~|Unidentified Text(s)","Consists of two components: one original folio, reused as binding material, and the remnant of a folio, also reused as binding material","text","","cpa","right-to-left","Syriac","Christian Palestinian Aramaic","Medieval CPA; cursive script that employs the features and structure of ancient script style","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai CPA NF frag 17","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1nk3q1x/manifest","delivery sppms","",""
"","","Sinai, St. Catherine’s Monastery, CPA NF frag 5","Discourse of Mar Gregorios on the hour of death and the separation of the soul from the body","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz1cz37hq/1022,0,6132,6132/150,150/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14m95mw","Work","","","","801/1000","9th-10th c.  CE","","","","","","","","","Brock 1995","","","4 ff.","","Bifolium","","","Parchment","Not foliated; sequence follows Brock 1995, pl. 387-388 | The larger of the two fragments is now in two pieces, treated as one (fol. 2 bis)","","","","","","","","","black","Palimpsest|~|Multispectral Imaging","Bifolio and two fragments","text","Theological works","cpa","right-to-left","Syriac","Christian Palestinian Aramaic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai CPA NF frag 5","New Finds","","https://sinai-images.library.ucla.edu/iiif/ark:%2F21198%2Fz14m95mw/manifest","delivery sppms","",""
