File Name,Item Sequence,Visibility,Title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Author,Translator,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Form,Format.dimensions,Support,Foliation,Page layout,Writing and hands,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,AltIdentifier.local,Collection (physical),Other version,IIIF Manifest URL,delivery
,,sinai,"Sinai Arabic 10. Pentateuch : manuscript, 1233. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z12v40q2,Work,,Bible. Pentateuch,,1233,,1233,,,,"Genesis, Exodus, Leviticus, Numbers and Deuteronomy with some introductory notices",,,,Kamil,,,205 ff. ; 1771.5 g,codex,278 x 198 x 83 mm,Paper,,,,,,,,,,,text,Biblical texts,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 10,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v40q2/manifest,4.3
,,sinai,"Sinai Arabic 104. Four Gospels : manuscript, 1281. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1x36g3q,Work,,Bible. Gospels,,1281,,1281,,,,Followed by chapter index and divided according to Greek Calendar,,,,Kamil,,,295 ff. ; 1668.2 g,codex,227 x 163 x 92 mm,Paper,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 104,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x36g3q/manifest,4.3
,,sinai,"Sinai Arabic 110. Four Gospels : manuscript, 1286. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1sb5qbj,Work,,Bible. Gospels,,1286,,1286,,,,Divided according to Greek Calendar and followed by tables of readings for the whole year,,,,Kamil,,,234 ff. ; 1437.4 g,codex,235 x 159 x 71 mm,Paper,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 110,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb5qbj/manifest,4.3
,,sinai,"Sinai Arabic 112. Four Gospels : manuscript, 1259. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1np3p1j,Work,,Bible. Gospels,,1259,,1259,,,,"Preceded by introduction and chapter index. St. Matthew begins with I, 22",,,,Kamil,,,168 ff. ; 717.8 g,codex,231 x 165 x 42 mm,Paper,,,,,,,,,,,text,Biblical texts|~|Gospel books,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 112,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np3p1j/manifest,4.3
,,sinai,"Sinai Arabic 12. Prophetologion : manuscript, [14th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1z33h90,Work,,Prophetologion,,1301/1400,,14th c.,,,,,,,,Kamil,,,122 ff. ; 473.2 g,codex,217 x 160 x 33 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 12,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z33h90/manifest,4.3
,,sinai,"Sinai Arabic 122. Lectionary (Gospels), with introduction and commentary : manuscript, 1228. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1hx2x8c,Work,,Evangelion,,1228,,1228,,,,,,,,Kamil,,,322 ff. ; 2428.8 g,codex,264 x 183 x 98 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 122,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx2x8c/manifest,4.3
,,sinai,"Sinai Arabic 130. Lectionary (Gospels) : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1d525jb,Work,,Evangelion,,1201/1300,,13th c.,,,,,,,,Kamil,,,137 ff. ; 1418.7 g,codex,269 x 188 x 70 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 130,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d525jb/manifest,4.3
,,sinai,"Sinai Arabic 15. Prophetologion : manuscript, [14th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1tb2rjt,Work,,Prophetologion,,1301/1400,,14th c.,,,,,,,,Kamil,,,147 ff. ; 1138.8 g,codex,247 x 175 x 62 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 15,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tb2rjt/manifest,4.3
,,sinai,"Sinai Arabic 150. Lectionary (Gospels), Acts and Epistles with commentary : manuscript, 1232. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z18d1dv2,Work,,Lectionary,,1232,,1232,,,,,,,,Kamil,,,314 ff. ; 1905.5 g,codex,258 x 183 x 88 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 150,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18d1dv2/manifest,4.3
,,sinai,"Sinai Arabic 163. Lectionary (Acts and Epistles) : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z14n0p6n,Work,,Lectionary,,1201/1300,,13th c.,,,,,,,,Kamil,,,136 ff. ; 1562.9 g,codex,267 x 176 x 73 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 163,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14n0p6n/manifest,4.3
