File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0001_f_001r.tif,1,sinai,f. 1r,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/x400r41k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fx400r41k
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0002_f_001v.tif,2,sinai,f. 1v,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/mt02zx0x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fmt02zx0x
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0003_f_002r.tif,3,sinai,f. 2r,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/fb62z943,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Ffb62z943
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0004_f_002v.tif,4,sinai,f. 2v,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/5g06kw4w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2F5g06kw4w
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0005_f_003r.tif,5,sinai,f. 3r,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/m734zg2p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fm734zg2p
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0006_f_003v.tif,6,sinai,f. 3v,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/4204v41v,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2F4204v41v
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0007_f_004r.tif,7,sinai,f. 4r,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/pb840c70,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fpb840c70
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0008_f_004v.tif,8,sinai,f. 4v,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/f339m544,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Ff339m544
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0009_f_005r.tif,9,sinai,f. 5r,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/wg16h77n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fwg16h77n
Masters/sinaimasters/syrnf/syriac_nf_m_0089/sld_syrnfm0089_0010_f_005v.tif,10,sinai,f. 5v,Text,,ark:/21198/z15q6n7z,ark:/21198/z1p28qb0/nz25215p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 89,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fnz25215p
